# Haritha Hospitals - Schema + Data
# Entity: Employee
# Generated: 2026-08-19 19:31 IST

## Schema
Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Employee,employee_name,Data,Yes,Full name of employee,Manager-1001,free text (synthetic per source)
Employee,employee_number,Data,Yes,Unique employee ID,1001,unique sequential
Employee,status,Select,Yes,Employment status,Active,Active/Inactive/Left/Suspended
Employee,department,Link,Yes,Department,Cardiology,Link → Department
Employee,designation,Link,Yes,Designation,Senior Staff Nurse,Link → Designation
Employee,employment_type,Link,No,Employment type,Full-time,Link → Employment Type
Employee,default_shift,Link,No,Default shift (auto-attendance cron uses this),Morning Regular 06:00-14:00,Link → Shift Type
Employee,date_of_joining,Date,Yes,Date of joining,2025-01-01,ISO date
Employee,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Employee,is_synthetic_data,Check,No,Mark synthetic / test data (custom field),1,0/1
Employee,branch,Link,No,Branch location,Hyderabad,Link → Branch
Employee,gender,Select,No,Gender,Male,Male/Female/Other
Employee,date_of_birth,Date,No,Date of birth,1990-01-01,ISO date
Employee,User_id,Link,No,Frappe User account for login,,Link → User
Employee,holiday_list,Link,No,Holiday list for this employee,Haritha Hospitals Holiday List,Link → Holiday List
Employee,attendance_device_id,Data,No,Biometric device ID,EMP-1001,free text

## Data
employee_name,employee_number,status,department,designation,employment_type,default_shift,date_of_joining,company,is_synthetic_data,branch,gender,date_of_birth,user_id,holiday_list,attendance_device_id
Trainee-1137,1137,Active,Nursing,Trainee,Full-time,A1400R0600,2009-05-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1137
Trainee-1138,1138,Active,OP Operations,Trainee,Full-time,G0900R0830,2009-05-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1138
Technician - Ct-1139,1139,Active,Radiology,Technician - Ct,Full-time,N2000R1200,2009-05-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1139
Pharmacist-1140,1140,Active,Pharmacy,Pharmacist,Full-time,G0930R0830,2009-05-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1140
Incharge-1141,1141,Active,Cath Lab,Incharge,Full-time,G1100R0800,2009-05-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1141
Dietician-1142,1142,Active,Dietetics,Dietician,Full-time,G0900R0830,2009-05-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1142
Trainee-1143,1143,Active,Dialysis,Trainee,Full-time,G0900R0830,2009-05-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1143
Sr.Manager-1144,1144,Active,Business Development,Senior Manager,Full-time,G1000R0800,2009-05-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1144
Manager-1145,1145,Active,Credit Realization,Manager,Full-time,G0930R0830,2009-05-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1145
Assistant Manager-1146,1146,Active,Quality,Assistant Manager,Full-time,G1000R0830,2009-05-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1146
Assistant Manager-1147,1147,Active,Business Development,Assistant Manager,Full-time,G1000R0800,2009-05-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1147
Sr.Executive-1148,1148,Active,Business Development,Senior Executive,Full-time,G1000R0800,2009-05-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1148
Executive-1149,1149,Active,Business Development,Executive,Full-time,G1000R0800,2009-05-29,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1149
Scrub Nurse-1150,1150,Active,Nursing,Scrub Nurse,Full-time,G0900R0830,2009-05-30,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1150
Executive-1151,1151,Active,Billing,Executive,Full-time,G1100R0830,2009-05-31,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1151
Trainee-1152,1152,Active,OP Operations,Trainee,Full-time,A1200R0830,2009-06-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1152
Trainee-1153,1153,Active,IP Operations,Trainee,Full-time,A1200R0830,2009-06-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1153
Staff Nurse-1154,1154,Active,Nursing,Staff Nurse,Full-time,G0900R0830,2009-06-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1154
Typist-1155,1155,Active,Radiology,Typist,Full-time,G0930R0830,2009-06-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1155
Trainee-1156,1156,Active,Cath Lab,Trainee,Full-time,G1000R0830,2009-06-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1156
Trainee-1157,1157,Active,Respiratory Therapy,Trainee,Full-time,G0900R0800,2009-06-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1157
Nursing Supervisor-1158,1158,Active,Nursing,Nursing Supervisor,Full-time,M0800R0600,2009-06-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1158
Staff Nurse-1159,1159,Active,Nursing,Staff Nurse,Full-time,G1100R0830,2009-06-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1159
Senior Executive-1160,1160,Active,IP Operations,Senior Executive,Full-time,N2000R1200,2009-06-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1160
Sr.Executive-1161,1161,Active,Billing,Senior Executive,Full-time,G1100R0830,2009-06-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1161
Executive-1162,1162,Active,Billing,Executive,Full-time,G1000R0830,2009-06-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1162
Trainee-1163,1163,Active,OP Operations,Trainee,Full-time,G1000R0830,2009-06-12,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1163
Trainee-1164,1164,Active,OP Operations,Trainee,Full-time,G0900R0830,2009-06-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1164
Trainee-1165,1165,Active,OP Operations,Trainee,Full-time,M0800R0830,2009-06-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1165
Trainee-1166,1166,Active,OP Operations,Trainee,Full-time,G0900R0830,2009-06-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1166
Trainee-1167,1167,Active,OP Operations,Trainee,Full-time,G0900R0830,2009-06-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1167
Trainee-1168,1168,Active,OP Operations,Trainee,Full-time,M0800R0830,2009-06-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1168
Senior Executive-1169,1169,Active,Corporate Relations,Senior Executive,Full-time,G0930R0830,2009-06-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1169
Pharmacist-1170,1170,Active,Pharmacy,Pharmacist,Full-time,G1000R0830,2009-06-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1170
Staff Nurse-1171,1171,Active,Nursing,Staff Nurse,Full-time,G1000R0830,2009-06-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1171
Staff Nurse-1172,1172,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-06-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1172
Staff Nurse-1173,1173,Active,Nursing,Staff Nurse,Full-time,M0800R0600,2009-06-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1173
Trainee-1174,1174,Active,Nursing,Trainee,Full-time,N2000R1200,2009-06-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1174
Staff Nurse-1175,1175,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-06-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1175
Manager-1176,1176,Active,Billing,Manager,Full-time,G0900R0830,2009-06-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1176
Sr.Manager-1177,1177,Active,Corporate Relations,Senior Manager,Full-time,G0930R0830,2009-06-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1177
Physician Assistant-1178,1178,Active,Medical Services,Physician Assistant,Full-time,G0900R0830,2009-06-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1178
Sr.Manager-1179,1179,Active,Operations,Senior Manager,Full-time,G0900R0830,2009-06-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1179
Manager-1180,1180,Active,IP Operations,Manager,Full-time,G0900R0830,2009-06-29,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1180
Sr.Executive-1181,1181,Active,Business Development,Senior Executive,Full-time,G0930R0800,2009-06-30,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1181
Duty Medical Officer-1182,1182,Active,Medical Services,Duty Medical Officer,Full-time,G0900R0800,2009-07-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1182
Trainee-1183,1183,Active,Nursing,Trainee,Full-time,M0800R0600,2009-07-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1183
Trainee Nurse-1184,1184,Active,Nursing,Trainee Nurse,Full-time,A1400R0600,2009-07-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1184
Trainee-1185,1185,Active,Nursing,Trainee,Full-time,M0800R0600,2009-07-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1185
Trainee-1186,1186,Active,Nursing,Trainee,Full-time,M0800R0600,2009-07-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1186
Trainee-1187,1187,Active,Nursing,Trainee,Full-time,N2000R1200,2009-07-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1187
Trainee-1188,1188,Active,Nursing,Trainee,Full-time,M0800R0600,2009-07-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1188
Technician-1189,1189,Active,CSSD,Technician,Full-time,G1100R0830,2009-07-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1189
Trainee-1190,1190,Active,Nursing,Trainee,Full-time,M0800R0600,2009-07-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1190
Manager-1191,1191,Active,Corporate Relations,Manager,Full-time,G0930R0830,2009-07-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1191
Nursing Superintendent-1192,1192,Active,Nursing,Nursing Superintendent,Full-time,G0930R0830,2009-07-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1192
Sr.Executive-1193,1193,Active,Human Resources,Senior Executive,Full-time,G0900R0830,2009-07-12,Haritha Hospitals,1,Kalwakurthy,,,,Haritha Hospitals Holiday List,EMP-1193
Medical Superdinet-1194,1194,Active,Administration - Medical,Medical Superintendent,Full-time,G0900R0830,2009-07-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1194
Jr.Staff Nurse-1195,1195,Inactive,Nursing,Jr.Staff Nurse,Full-time,N2000R1200,2009-07-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1195
Assistant General Manager-1196,1196,Inactive,Billing,Assistant General Manager,Full-time,G0900R0830,2009-07-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1196
Manager-1197,1197,Inactive,Lab Services,Manager,Full-time,G0930R0800,2009-07-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1197
Trainee-1198,1198,Inactive,Human Resources,Trainee,Full-time,G0900R0830,2009-07-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1198
Senior Executive-1199,1199,Inactive,Business Development,Senior Executive,Full-time,G0930R0900,2009-07-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1199
Assistant General Manager-1200,1200,Inactive,Business Development,Assistant General Manager,Full-time,G0930R0900,2009-07-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1200
Physician Assistant-1201,1201,Inactive,Medical Services,Physician Assistant,Full-time,G0900R0800,2009-07-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1201
General Manager-1202,1202,Inactive,Operations,General Manager,Full-time,G0900R0830,2009-07-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1202
Technician-1203,1203,Inactive,Radiology,Technician,Full-time,N2000R1200,2009-07-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1203
Staff Nurse-1204,1204,Inactive,Nursing,Staff Nurse,Full-time,N2000R1200,2009-07-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1204
Jr.Technician-1205,1205,Inactive,CSSD,Jr.Technician,Full-time,G1000R0830,2009-07-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1205
Sr.Executive-1206,1206,Inactive,Business Development,Senior Executive,Full-time,G1000R0800,2009-07-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1206
Executive-1207,1207,Inactive,Business Development,Executive,Full-time,G0930R0830,2009-07-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1207
Trainee-1208,1208,Inactive,Nursing,Trainee,Full-time,N2000R1200,2009-07-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1208
Co-Ordinator-1209,1209,Inactive,Business Development,Co-Ordinator,Full-time,G0900R0830,2009-07-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1209
Trainee-1210,1210,Inactive,Nursing,Trainee,Full-time,M0800R0600,2009-07-29,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1210
